,Baseline,mBERT,Tagalog_Tok,Slang,Stopwords,mBERT_Slang,TagTok_Slang,mBERT_Stop,TagTok_Stop,mBERT_Slang_Stop,TagTok_Slang_Stop
Baseline,1.0,0.002972995694509817,0.6594702976668931,0.9999347498992704,0.9999347498992704,0.00027468931812291153,0.8675571001643083,0.0006680709072088842,0.49124480543522264,0.00010840659203625869,0.9000720533882487
mBERT,0.002972995694509817,1.0,1.1191064908100401e-07,0.02939224878229285,0.00019030095146788106,0.9999812632061638,9.066502379972974e-07,0.9999997324737218,2.5930060099099705e-08,0.9996874656062953,1.4194810111778366e-06
Tagalog_Tok,0.6594702976668931,1.1191064908100401e-07,1.0,0.2443275117132221,0.9572966254028639,3.3937714860599044e-09,0.9999997324737218,1.22320010786936e-08,0.9999999950403538,9.071314810427111e-10,0.9999981241423055
Slang,0.9999347498992704,0.02939224878229285,0.2443275117132221,1.0,0.9772148048489465,0.0040635697020510175,0.4634693146539389,0.008597450734670109,0.14247544470057727,0.0018358735921233382,0.5193250598187984
Stopwords,0.9999347498992704,0.00019030095146788106,0.9572966254028639,0.9772148048489465,1.0,1.2185059932945386e-05,0.9953961004343003,3.369311630685434e-05,0.884521686747487,4.239306465758652e-06,0.9976208548730544
mBERT_Slang,0.00027468931812291153,0.9999812632061638,3.3937714860599044e-09,0.0040635697020510175,1.2185059932945386e-05,1.0,3.3210367678115915e-08,0.9999999991857873,6.936258234446768e-10,0.9999999991857873,5.423310323049435e-08
TagTok_Slang,0.8675571001643083,9.066502379972974e-07,0.9999997324737218,0.4634693146539389,0.9953961004343003,3.3210367678115915e-08,1.0,1.1191064908100401e-07,0.999964197232999,9.493604680166357e-09,0.999999999999912
mBERT_Stop,0.0006680709072088842,0.9999997324737218,1.22320010786936e-08,0.008597450734670109,3.369311630685434e-05,0.9999999991857873,1.1191064908100401e-07,1.0,2.614420679947216e-09,0.999999254004174,1.800328190970646e-07
TagTok_Stop,0.49124480543522264,2.5930060099099705e-08,0.9999999950403538,0.14247544470057727,0.884521686747487,6.936258234446768e-10,0.999964197232999,2.614420679947216e-09,1.0,1.772919588916011e-10,0.9998859624906091
mBERT_Slang_Stop,0.00010840659203625869,0.9996874656062953,9.071314810427111e-10,0.0018358735921233382,4.239306465758652e-06,0.9999999991857873,9.493604680166357e-09,0.999999254004174,1.772919588916011e-10,1.0,1.573675478816483e-08
TagTok_Slang_Stop,0.9000720533882487,1.4194810111778366e-06,0.9999981241423055,0.5193250598187984,0.9976208548730544,5.423310323049435e-08,0.999999999999912,1.800328190970646e-07,0.9998859624906091,1.573675478816483e-08,1.0
