method,text,predicted,actual
Baseline,made my night!!! yan si binay! ???????? [url],1,0
Baseline,"boy: ano ba talaga gusto mo sa lalaki? girl: nognog,pandak,laki sa hirap at di tulad ng iba marami na nagawa. hahahahahhah ???? si binay be??",1,0
Baseline,hay nako basta ako binay ako . binay tayo . hahaha,1,0
Baseline,eh si binay?? hahaha,1,0
Baseline,namiss ko maam binay!!! huhu social psych [url],1,0
Baseline,decent?which part of mar roxas is decent?none.so shut up nalang. #soshutupnalangseries [url],1,0
Baseline,isyu lalo ang ayaw ipaliwanag na yaman ng mga binay. #1negros4marleni #marlenisanegros,1,0
Baseline,we still support mar roxas. you can't bring a good man down. :),1,0
Baseline,president nieto is much worse than binay. #fact,1,0
Baseline,e ayoko kay mar roxas.,1,0
Baseline,binay - marginalized sector,1,0
Baseline,"""hindi ko kayo nanakawan"" -mar roxas my reaction: bakit kaya mo bang akyatin lahat nang bahay nang pinoy?",1,0
Baseline,pandak pala si binay? wow,1,0
Baseline,hintayin ko nalang si ate binay,1,0
Baseline,"binay talaga, bicolano pa sinuyo.",1,0
Baseline,bias ka ba marcelo? hahaha walang binay eh. [url],1,0
Baseline,rt [mention]: bakit nakakairita commercial ni mar roxas?,1,0
Baseline,nagwawala na po itong katabi ko porket lamang lang si duterte ayyyy kaya pang habulin ni poe yann!!!!,1,0
Baseline,dba vice president ka naman binay?ba't hindi mo yun ginawa?kailangan pa bang maging presidente ka bago mo ipaglaban ang west philippine sea?,1,0
Baseline,"*sandro and baste are fighting * sandro: ""if you can't handle me at my binay, then you don't deserve me at my miriam."" #rp69fanfic",1,0
Baseline,tita yam: ayaw niyo sa pera ah. pag ako nagkapera bahala kayo dyan hahaha,1,0
Baseline,"maka hugot ka, ha. lagot ka kay mar roxas. ?? [url]",1,0
Baseline,"duterte votes went to roxas?...see, even the vcmachines rejected him!",1,0
Baseline,[mention] hayaan mo yan sila mga anak ni binay! hahhahahaha,1,0
Baseline,si binay iboboto ni duterte....,1,0
Baseline,abot na abot mo pa ang commercial ni binay!! ?????? [url],1,0
Baseline,"hindi pa man nakakaupo, may 5 plunder cases nang nailatag kay vp binay. #wantedpresident",1,0
Baseline,bakit puro kayo sandro? pano naman yung anak ni binay? hahahaha cge sakin nalang sya ??,1,0
Baseline,"interview pa lang ni duterte walang isip-isip sa pagsagot, hindi tulad ni mar roxas! haha #wantedpresident",1,0
Baseline,[mention] binay! wala na ba? ??????,1,0
Baseline,[mention] nognog. pandak. yan si binay asawa ni binoy ????????,1,0
Baseline,gwapo naman lagi ni binay eh hahahaha,1,0
Baseline,yan si binay! wahahaha! [url],1,0
Baseline,nag trending si binay sa twitter.. negative puros ??????????????????,1,0
Baseline,i really don't like that binay commercial hahahaha,1,0
Baseline,[mention] vice pres. ken gegomar binay.??,1,0
Baseline,"grabe talaga si trillanes, wala kasing boto kaya ginagamit si vp binay! #binayparin #binay2016 #onlybinay",1,0
Baseline,"honestly, why is trillanes so against of mayor duterte? ano motive niya?",1,0
Baseline,kapag si mar roxas ang mananalo matutuwa si koring. at ayokong mangyari yon. hahahahaha,1,0
Baseline,bakit dahil kay binay? bakit puro binay lagi? ??,1,0
Baseline,pag nanalo si mar or binay mag sisimula ako mag graffiti ng anti-gov shit. lol,1,0
Baseline,"""but you expect me to jump up on board with you and ride off into your delusional sunset."" (king of anything, sara bareilles to mar roxas)",1,0
Baseline,binay bucks proposed 14 percent vat [url],1,0
Baseline,"madalang na mabanggit si jojo binay nowadays a... relevant pa po ba? sayang yung limang taon na surveys, na utog in the end. #binaynyeh",1,0
Baseline,lss??????,1,0
Baseline,ngayon ko lang napanuod yung advertisement ni binay. parang hindi ko matanggap na nognog ako.,1,0
Baseline,papa bat si mar roxas pa! ??,1,0
Baseline,"#binay:say,yes, i'm a sinner; but no, i'm not corrupt!&amp; to say it with fear, lest we accept that corruption as just another sin.#popefrancis",1,0
Baseline,commercial na naman ni binay,1,0
Baseline,"rt [mention]: ano pinagkaiba ni nancy binay at alma moreno? si nancy, nognog si alma, moreno",1,0
Baseline,"they say when you find that guy who makes you mad and makes you laugh at the same time, he's the one. mar roxas, ikaw na ata. ??????",1,0
Baseline,yung dummy account na galit na galit kay binay ??,1,0
Baseline,laban poe! ungasan mo si roxas! #halalan2016,1,0
Baseline,"pag yang resulta naiba pa, at si mar roxas ang maging nangunguna, alam na!! ??",1,0
Baseline,#labanleni naalala ko sabi ng mga taga armm...si bbm ang may plan b-z! baba daw si duterte.impeach daw si binay.,1,0
Baseline,si mar roxas yung kaklase nating magtetake ng risk para lang may masabi sa recitation dahil masyadong bilib sa sarili kaya 'di na nag-iisip.,1,0
Baseline,nung si tado niloko ka nagalit ka. eh dba nagpapasaya lang naman sya tulad ng sinasbi mo nung niloko mo sina binay at soho?,1,0
Baseline,andaming concepts ng series ng tvc ni binay. hindi ko matanggap na wala man lang done in good taste. hire me please and pay meeeee,1,0
Baseline,binay threathening? di siya ganun katanga! nautusan nanaman tong ombudsman na to ng mga dilaw! #onlybinay #gobinay,1,0
Baseline,"binay: ""bilang pangulo..."" okay, pero nung bise ka, wala namang nangyari",1,0
Baseline,mar roxas tapos inc si kat nyay??,1,0
Baseline,what if maapsan ni mar roxas ang votes ni mayor? world war iii na ba? hahahaha,1,0
Baseline,magulat kayo biglang si binay nanalong presidente sa official results. #onlybinay #lss #chosnachos,1,0
Baseline,todo bully ang mga tao kay binay! di naman nakakatuwa!,1,0
Baseline,yung bagong commercial ni binay :-----(((( hahahahahhahahahahaha,1,0
Baseline,[mention] tatakbo si binay ngayo ateng ??????,1,0
Baseline,here comes mar roxas ????????,1,0
Baseline,trillanes doesn't have the funds to air his own vp ad yet has money to pay for anti-duterte ad? labo di ba?,1,0
Baseline,vp binay also said that our progress has no sense if there are no jobs. today's headline: 2015 joblessness lowest in 11 years!,1,0
