method,text,predicted,actual
Baseline,#nomorechance [url],0,1
Baseline,poor binay ?? [url],0,1
Baseline,anybody who plans to vote for binay is definitely an utter moron. #pakganurn,0,1
Baseline,"[mention] [mention] i will support your decisions babies, but sorry to say, mar roxas is not fit to be president! ??",0,1
Baseline,nakakasuka! blergh!! #lenionmmk #mmkina #roxasrobredo2016 #abscbnfail,0,1
Baseline,"i strongly disagree on electing [mention] for president. she's an atheist! guys, come on! #notomiriam [url]",0,1
Baseline,#du30forpresident2016,0,1
Baseline,ang kakapalan ni binay ay wagas... pati sa araw ng undas! [url],0,1
Baseline,"crowd sourcing: kaninong ad mas nakakasuka, kay grace poe o kay binay?",0,1
Baseline,"[mention] [mention] [mention] also be wary of friends and poes, este, foes.",0,1
Baseline,[mention] or the binay uplb roast. please.,0,1
Baseline,[mention] ask the yellow army and they'll tell you that that's a smear job against mar roxas,0,1
Baseline,dito lang ba may brownout? ito na kaya ang simula ng malawakang dayaan? baka biglang lumamang c roxas? #phvote2016 #bilangpilipino,0,1
Baseline,"binay, libre gamot? libre pahospital? tapos no income tax? wehhh",0,1
Baseline,sakit umasa,0,1
Baseline,"[mention] yeah right. and pls lang, it was lbl who was really for mar. you have always been pro-binay. kadiri.",0,1
Baseline,"isyu ngayon mga dilaw bigas ind bala , ang kurakot na si binay , ang amerikanang poe.. wag ilihis ang isyu sa napakatagal na .. #duterte",0,1
Baseline,"why choose binay, poe and roxas over santiago? damn.",0,1
Baseline,ayaw niyo si duterte....... so payag kayo kay mar roxas na kumakain ng kanin sa baso? wtf,0,1
Baseline,#notolp,0,1
Baseline,[mention] but still binay got the highest distrust and disapproval ratings.,0,1
Baseline,[mention] [mention] paawa effect ads na nya mar roxas po kaasar #aldub6thmonthsary,0,1
Baseline,naaay....… [url],0,1
Baseline,[mention] may vote buying na nga si binay eh,0,1
Baseline,"[mention] mar roxas' latest stunt: if duterte-marcos wins, do not blame me, blame grace poe for not cooperating. ???? what a loser!",0,1
Baseline,"everyone is convinced that mar roxas will cheat in these elections. so he may as well withdraw - coz win or lose, he'll be seen as a cheater",0,1
Baseline,i cringe everytime binay claims makati while he's a 6 year vice president. #pilipinasdebates2016 #halalan2016,0,1
Baseline,#notobinay2016 [url],0,1
Baseline,"salgado on vp binay being the top spender in political ads: hindi lang pala selective justice, selective data rin ang nangyari dito",0,1
Baseline,"grabe si binay oh, makadeny sa accusations wagas!milyones ang deposit from dummies acct!!tsek tsek [url]",0,1
Baseline,[mention] [mention] tanga. si binay ???,0,1
Baseline,well. poe better be ready for the coming black propaganda from mar and binay. #gutterlanguage #nojoke [url],0,1
Baseline,hahahahahahaha binay pala tong si yeri eh hahahahaha bastos [url],0,1
Baseline,can grace poe not sound like chiz escudero? it's very frustrating. #pilipinasdebates2016,0,1
Baseline,[url],0,1
Baseline,uh oh. not good. - exclusive: grace poe huling huli na nangsuhol ng 500 pesos sa mga tao! [url],0,1
Baseline,"totally lost it when he supported binay. i guess when he has nothing more to lose, he can say anything he wants. [url]",0,1
Baseline,"escudero kung sinungaling si binay: pag di naman totoo, automatic ang reaction mo talaga. itatanggi mo. #dzmmteleikawnaba #halalan2016",0,1
Baseline,na una na ang dalawa sa ayaw ko maging president binay&amp;roxas #wantedpresendent #eskinolmainegirl,0,1
Baseline,[mention] what if si binay si plankton hahahahahahahahhahaha,0,1
Baseline,#boobatantereport: ofw binoto si grace poe pero lumabas sa resibo ay hillary clinton. charot!,0,1
Baseline,#roro #switchtomar machines,0,1
Baseline,"binay: ""i am a man of proven accountability and transparency."" me: *insert y da fuk u lyin, y u always lyin meme*",0,1
